"timestampdiff(HOUR, t_revision.rev_createdTime, t_revision.rev_committedTime)","rev_patchSetNum","rev_changeId"
"8","1","1272"
"9","1","1273"
"9","1","1274"
"12","1","1275"
"14","1","1276"
"14","1","1277"
"14","1","1278"
"26","1","1279"
"0","1","1280"
"28","1","1281"
"28","1","1282"
"28","1","1283"
"29","1","1284"
"30","1","1285"
"31","1","1286"
"31","1","1287"
"31","1","1288"
"35","1","1289"
"36","1","1290"
"36","1","1291"
"36","1","1292"
"37","1","1293"
"37","1","1294"
"39","1","1295"
"20","1","1296"
"0","1","1297"
"0","1","1298"
"0","1","1299"
"0","1","1300"
"0","1","1301"
"0","1","1302"
"0","1","1303"
"0","1","1304"
"0","1","1305"
"0","1","1306"
"0","1","1307"
"0","1","1308"
"0","1","1309"
"0","1","1310"
"4","1","1312"
"0","1","1313"
"0","1","1314"
"0","1","1315"
"1","1","1316"
"1","1","1317"
"0","1","1318"
"5","1","1319"
"0","1","1320"
"0","1","1321"
"0","1","1322"
"0","1","1323"
"0","1","1324"
"0","1","1325"
"0","1","1326"
"0","1","1327"
"0","1","1328"
"0","1","1329"
"0","1","1330"
"0","1","1331"
"0","1","1332"
"0","1","1333"
"0","1","1334"
"0","1","1335"
"0","1","1336"
"0","1","1337"
"0","1","1338"
"0","1","1339"
"0","1","1340"
"0","1","1341"
"1","1","1342"
"0","1","1343"
"0","1","1344"
"0","1","1345"
"13","1","1346"
"13","1","1347"
"4","1","1348"
"0","1","1349"
"0","1","1350"
"1","1","1351"
"1","1","1352"
"0","1","1353"
"0","1","1354"
"1","1","1355"
"0","1","1356"
"0","1","1357"
"0","1","1358"
"0","1","1359"
"0","1","1360"
"0","1","1361"
"0","1","1362"
"0","1","1363"
"1","1","1364"
"0","1","1365"
"0","1","1366"
"0","1","1367"
"0","1","1368"
"0","1","1369"
"0","1","1370"
"0","1","1371"
"0","1","1372"
"0","1","1373"
"0","1","1374"
"0","1","1375"
"0","1","1376"
"0","1","1377"
"0","1","1378"
"0","1","1379"
"232","1","1380"
"0","1","1381"
"0","1","1382"
"74","1","1383"
"0","1","1384"
"0","1","1385"
"19","1","1386"
"0","1","1387"
"0","1","1388"
"3","1","1389"
"19","1","1390"
"0","1","1391"
"0","1","1392"
"2","1","1393"
"6","1","1394"
"18","1","1395"
"2","1","1396"
"0","1","1397"
"1216","1","1398"
"19","1","1399"
"0","1","1400"
"0","1","1401"
"0","1","1402"
"0","1","1403"
"0","1","1404"
"0","1","1405"
"0","1","1406"
"0","1","1407"
"0","1","1408"
"9","1","1409"
"12","1","1410"
"0","1","1411"
"11","1","1412"
"0","1","1413"
"0","1","1414"
"0","1","1415"
"0","1","1416"
"0","1","1417"
"0","1","1418"
"46","1","1419"
"0","1","1420"
"0","1","1421"
"0","1","1422"
"0","1","1423"
"0","1","1424"
"0","1","1425"
"0","1","1426"
"0","1","1427"
"0","1","1428"
"0","1","1429"
"0","1","1430"
"0","1","1431"
"0","1","1432"
"0","1","1433"
"2","1","1434"
"306","1","1435"
"0","1","1436"
"0","1","1437"
"0","1","1438"
"0","1","1439"
"24","1","1440"
"34","1","1441"
"0","1","1442"
"0","1","1443"
